,x,y,z,result
132,-1279.9327,1030.802,-56.656822,1.005223
133,-1312.554,1040.2556,-56.540615,1.011378
134,-1343.401,1050.4308,-56.237995,1.021256
135,-1373.3579,1063.897,-55.23214,1.007704
136,-1407.7484,1075.6533,-54.917564,0.997768
137,-1443.0649,1083.5004,-55.112267,0.999268
138,-1477.4459,1089.5565,-54.651306,0.999969
139,-1513.3497,1096.2249,-54.549984,0.999978
140,-1512.8181,1061.2687,-54.538765,0.999965
141,-1511.8257,1026.2676,-54.556957,1.000027
142,-1510.6946,991.12408,-54.530556,1.000865
143,-1508.8864,956.51483,-53.92709,1.003116
144,-1507.6592,922.29706,-53.942848,1.004403
145,-1506.7482,888.02563,-54.651779,1.00361
146,-1506.1008,853.48169,-54.43335,1.00214
147,-1505.6283,818.75421,-53.959042,1.001166
148,-1505.1486,783.98871,-54.524834,1.001143
149,-1504.6317,749.14313,-53.994541,1.000649
150,-1504.1019,714.35242,-54.009495,1.00091
151,-1503.5179,679.51874,-54.038372,1.000545
152,-1502.9924,644.74353,-53.978485,1.001005
153,-1502.4198,609.92853,-54.004585,1.000612
154,-1502.0065,575.20996,-54.535225,1.001708
155,-1501.4012,540.40448,-53.970078,1.000733
156,-1500.9996,505.66968,-54.729465,1.001891
157,-1500.4154,470.85919,-54.724197,1.000775
158,-1499.7518,436.1088,-54.750481,1.001774
159,-1499.2914,401.39792,-54.12928,1.001618
160,-1498.7887,366.61493,-53.456554,1.000964
161,-1498.4908,331.84344,-52.416325,1.00101
162,-1498.4222,297.13199,-51.190536,1.001243
163,-1498.4469,262.39377,-50.002151,1.000471
164,-1498.3972,227.63588,-49.100491,1.001403
165,-1498.2944,193.02269,-48.532555,1.004121
166,-1498.0273,158.54332,-48.073246,1.003183
167,-1497.6771,124.3902,-47.89616,1.002984
168,-1497.1914,89.724403,-47.781761,1.001812
169,-1496.6559,55.079517,-47.711239,1.001965
170,-1496.0809,20.353327,-47.780472,1.001132
171,-1495.4359,-14.469385,-48.028973,1.001155
172,-1494.8042,-49.207817,-48.434963,1.001533
173,-1494.1844,-83.871361,-48.954643,1.001818
174,-1493.4758,-118.48095,-49.581223,1.002435
175,-1492.8625,-153.01688,-50.309029,1.004739
176,-1492.1436,-187.31088,-51.020763,1.005522
177,-1491.4343,-221.85403,-51.64053,1.001371
178,-1490.6693,-256.62286,-52.316414,1.000951
179,-1490.0005,-291.36105,-53.005081,1.000999
180,-1489.5258,-326.13809,-53.570557,1.000816
181,-1489.2231,-360.93713,-53.93914,1.000766
182,-1488.8508,-395.72311,-54.316452,1.000725
183,-1488.4878,-430.49524,-54.770863,1.001087
184,-1488.2421,-465.30212,-54.867371,1.000749
185,-1488.0515,-500.15833,-54.860939,1.000388
186,-1487.8419,-534.9715,-54.871277,1.000856
187,-1487.5232,-569.82611,-54.839073,1.001025
188,-1487.1676,-604.60187,-54.175568,1.000728
189,-1486.978,-639.3941,-54.139023,1.00108
190,-1486.8082,-674.19867,-54.808395,1.00108
191,-1486.4801,-709.0144,-54.369926,1.000658
192,-1486.2992,-743.81952,-54.350399,1.000607
193,-1486.0172,-778.68652,-54.240288,1.000874
194,-1485.6654,-813.36621,-54.178162,1.001961
195,-1485.3628,-848.05579,-54.856544,1.003431
196,-1485.0149,-882.37848,-54.159615,1.005441
197,-1485.1051,-916.46161,-54.875179,1.007893
198,-1485.9298,-950.00269,-54.133026,1.011098
199,-1487.9707,-983.71851,-54.849983,1.002922
200,-1489.1729,-1019.3568,-54.101776,1.000092
201,-1489.1852,-1054.4816,-54.101284,0.999861
202,-1488.8235,-1090.7972,-54.167267,0.999738
203,-933.66412,-21.031347,49.649483,0.999842
204,-932.98505,-55.467403,49.45842,0.999832
205,-932.30975,-89.902512,49.188992,0.999836
206,-899.3266,-20.348289,52.34066,0.999784
207,-418.35553,23.580187,65.144226,0.998898
208,-864.96405,-19.676046,54.78022,0.999671
209,-864.28546,-54.110977,54.638897,0.999708
210,-897.97693,-89.2257,52.005764,0.999791
211,-863.62622,-88.557938,54.49865,0.999733
212,-931.63757,-124.33286,48.798267,0.999812
213,-408.1694,-527.06488,36.081196,0.999747
214,-930.99243,-158.77693,48.480846,0.999784
215,-930.33398,-193.20784,47.674156,0.999818
216,-929.66943,-227.63176,46.864517,0.999721
217,-154.48465,-770.47003,-67.079636,1.006118
218,-414.11038,-794.50067,-0.78982353,0.99988
219,-862.95575,-122.99397,54.125809,0.999753
220,-896.64075,-158.09355,51.036705,0.999781
221,-136.37666,-519.1319,-5.1374164,0.99758
222,-862.28375,-157.43214,53.410275,0.99975
223,-861.63251,-191.8689,52.910549,0.999781
224,-895.32733,-226.96471,49.569946,0.999726
225,-860.97626,-226.29568,52.030972,0.99972
226,-27.763418,-770.67133,-68.901039,0.999082
227,-830.59772,-18.995127,57.207207,0.999543
228,-796.20233,-18.328178,59.288174,0.999338
229,-795.53717,-52.775692,59.154568,0.999451
230,-829.25092,-87.887939,56.767876,0.999672
231,48.029831,-761.93103,-69.617638,0.999893
232,-794.87,-87.234291,58.875347,0.99954
233,-761.81421,-17.65451,61.318768,0.99907
234,-727.40387,-16.988052,63.12603,0.998926
235,-726.73712,-51.452255,62.92247,0.999186
236,14.735488,-768.71954,-69.337219,0.999776
237,-760.47382,-86.567818,60.882645,0.999462
238,-726.07324,-85.921867,62.646877,0.999375
239,-794.20551,-121.67664,58.530346,0.999619
240,-97.316971,-774.75293,-68.051033,1.001685
241,-827.91711,-156.77052,55.834793,0.99974
242,-793.5368,-156.12698,57.845108,0.999666
243,-792.87476,-190.5631,57.175903,0.9997
244,-63.917965,-773.52319,-68.452316,1.000712
245,-826.59393,-225.64288,54.200314,0.999741
246,-164.36093,-797.17938,-67.647362,1.000121
247,-792.21021,-224.99524,56.150894,0.999711
248,-126.85223,-767.7605,-67.303284,1.003545
249,-10.69385,-642.85028,-68.401039,1.006247
250,-137.59706,-654.03748,-29.214052,0.999041
251,-725.40936,-120.37361,62.183918,0.999528
252,-5.8903618,-511.20279,-46.110996,1.006575
253,56.742859,-708.39001,-69.478767,0.999815
254,-13.563495,-708.19574,-68.378326,1.000889
255,-759.13788,-155.46632,59.729744,0.999618
256,56.947693,-640.02808,-69.518059,0.998612
257,-724.7442,-154.827,61.52515,0.999584
258,54.698906,-739.6601,-69.602615,0.999938
259,-724.0788,-189.27162,60.705334,0.999588
260,-757.81952,-224.35359,58.125542,0.999661
261,-723.40833,-223.70872,59.606915,0.999621
262,-929.03461,-262.0704,46.025616,0.999526
263,57.195057,-674.60187,-69.160141,0.999215
264,-928.38336,-296.48792,45.04734,0.999556
265,-927.74329,-330.91907,43.909245,0.999696
266,54.304024,-570.15161,-69.05098,0.999155
267,-12.487255,-575.89038,-64.820328,1.013821
268,-927.08746,-365.3306,42.451481,0.999646
269,47.205696,-501.47916,-69.67411,1.002242
270,-860.31323,-260.72748,51.003487,0.999557
271,55.966595,-604.93268,-69.573349,0.997725
272,-894.02765,-295.82965,47.529472,0.999547
273,-859.65936,-295.15131,49.849133,0.999584
274,-859.00079,-329.57693,48.496227,0.999672
275,51.316238,-535.77356,-69.084045,1.001471
276,-892.72455,-364.66565,44.849819,0.999675
277,-858.35236,-363.99838,47.019444,0.999665
278,-926.43951,-399.73633,40.89938,0.999604
279,-925.81799,-434.15604,39.449352,0.999613
280,-925.17407,-468.56161,37.591496,0.999518
281,-286.896,-782.90466,-32.266808,0.996075
282,-924.52844,-502.96921,35.738361,0.999516
283,-857.70349,-398.41068,45.450489,0.999632
284,-891.4386,-433.48544,41.530109,0.999604
285,-223.0497,-769.36212,-53.909412,0.991953
286,-202.25525,-793.4917,-66.759735,1.004542
287,-237.00259,-791.76215,-66.655914,1.006301
288,-857.06726,-432.82159,43.658863,0.999599
289,-191.19968,-765.22388,-66.644058,1.003121
290,-271.01303,-790.56,-66.48394,1.00455
291,-305.07043,-790.3642,-61.528061,0.993815
292,-856.42816,-467.23593,41.903847,0.99958
293,-255.25624,-776.2569,-42.096859,0.994846
294,-365.79987,-805.20453,-62.395676,0.998154
295,-438.72751,-818.91876,-50.735233,0.999346
296,-890.16278,-502.29028,37.876972,0.999643
297,-350.82996,-791.18195,-10.337604,0.996102
298,-855.7868,-501.61627,39.692562,0.99959
299,-791.5484,-259.42856,55.098736,0.999752
300,-825.28308,-294.49515,52.040905,0.999688
301,-790.88782,-293.84634,53.855087,0.99976
302,-404.96164,-811.75519,-55.641926,1.000822
303,-139.61473,-245.46408,24.670135,0.999511
304,-412.90527,-252.2132,58.389473,0.999348
305,-790.2265,-328.25839,52.358925,0.999735
306,-144.7635,28.647429,33.835152,0.998904
